,capped_normalized_return,eval_episode_return,eval_frame_rate,eval_num_episodes,frame,human_gap,iteration,normalized_return,train_episode_return,train_exploration_epsilon,train_frame_rate,train_num_episodes,environment_name,seed
51,-1,11130.0,-1,-1,4080000,-1,-1,0.33903367181889565,-1,-1,-1,-1,hero,2028
52,-1,10110.0,-1,-1,4160000,-1,-1,0.3048047947274106,-1,-1,-1,-1,hero,2028
53,-1,9550.5,-1,-1,4240000,-1,-1,0.28602924891105186,-1,-1,-1,-1,hero,2028
54,-1,9808.5,-1,-1,4320000,-1,-1,0.29468714135183927,-1,-1,-1,-1,hero,2028
55,-1,8757.0,-1,-1,4400000,-1,-1,0.2594011959972348,-1,-1,-1,-1,hero,2028
56,-1,7653.0,-1,-1,4480000,-1,-1,0.22235347020409807,-1,-1,-1,-1,hero,2028
57,-1,10921.5,-1,-1,4560000,-1,-1,0.33203688664872444,-1,-1,-1,-1,hero,2028
58,-1,9181.5,-1,-1,4640000,-1,-1,0.2736464492573676,-1,-1,-1,-1,hero,2028
59,-1,9522.5,-1,-1,4720000,-1,-1,0.28508963267716797,-1,-1,-1,-1,hero,2028
60,-1,10150.0,-1,-1,4800000,-1,-1,0.30614710363295905,-1,-1,-1,-1,hero,2028
61,-1,11276.0,-1,-1,4880000,-1,-1,0.34393309932414745,-1,-1,-1,-1,hero,2028
62,-1,8107.5,-1,-1,4960000,-1,-1,0.23760545514339212,-1,-1,-1,-1,hero,2028
63,-1,10288.0,-1,-1,5040000,-1,-1,0.3107780693571011,-1,-1,-1,-1,hero,2028
64,-1,4315.0,-1,-1,5120000,-1,-1,0.11033779203608125,-1,-1,-1,-1,hero,2028
65,-1,11418.0,-1,-1,5200000,-1,-1,0.3486982959388444,-1,-1,-1,-1,hero,2028
66,-1,10975.0,-1,-1,5280000,-1,-1,0.3338322248098955,-1,-1,-1,-1,hero,2028
67,-1,11600.0,-1,-1,5360000,-1,-1,0.35480580145908974,-1,-1,-1,-1,hero,2028
68,-1,9367.0,-1,-1,5440000,-1,-1,0.27987140680684847,-1,-1,-1,-1,hero,2028
69,-1,9672.0,-1,-1,5520000,-1,-1,0.29010651221165523,-1,-1,-1,-1,hero,2028
70,-1,11052.0,-1,-1,5600000,-1,-1,0.33641616945307623,-1,-1,-1,-1,hero,2028
71,-1,10815.5,-1,-1,5680000,-1,-1,0.3284797680490211,-1,-1,-1,-1,hero,2028
72,-1,8826.0,-1,-1,5760000,-1,-1,0.2617166788593059,-1,-1,-1,-1,hero,2028
73,-1,11199.5,-1,-1,5840000,-1,-1,0.34136593354228606,-1,-1,-1,-1,hero,2028
74,-1,9835.5,-1,-1,5920000,-1,-1,0.29559319986308447,-1,-1,-1,-1,hero,2028
75,-1,10496.5,-1,-1,6000000,-1,-1,0.31777485452727233,-1,-1,-1,-1,hero,2028
76,-1,10995.5,-1,-1,6080000,-1,-1,0.33452015812398905,-1,-1,-1,-1,hero,2028
77,-1,10510.5,-1,-1,6160000,-1,-1,0.3182446626442143,-1,-1,-1,-1,hero,2028
78,-1,9412.0,-1,-1,6240000,-1,-1,0.28138150432559045,-1,-1,-1,-1,hero,2028
79,-1,10828.5,-1,-1,6320000,-1,-1,0.32891601844332435,-1,-1,-1,-1,hero,2028
80,-1,10293.5,-1,-1,6400000,-1,-1,0.31096263683161407,-1,-1,-1,-1,hero,2028
81,-1,10343.5,-1,-1,6480000,-1,-1,0.3126405229635496,-1,-1,-1,-1,hero,2028
82,-1,11190.0,-1,-1,6560000,-1,-1,0.3410471351772183,-1,-1,-1,-1,hero,2028
83,-1,10063.0,-1,-1,6640000,-1,-1,0.3032275817633912,-1,-1,-1,-1,hero,2028
84,-1,9369.0,-1,-1,6720000,-1,-1,0.27993852225212584,-1,-1,-1,-1,hero,2028
85,-1,10222.5,-1,-1,6800000,-1,-1,0.3085800385242656,-1,-1,-1,-1,hero,2028
86,-1,11267.5,-1,-1,6880000,-1,-1,0.34364785868171843,-1,-1,-1,-1,hero,2028
87,-1,9777.0,-1,-1,6960000,-1,-1,0.2936300730887199,-1,-1,-1,-1,hero,2028
88,-1,10045.5,-1,-1,7040000,-1,-1,0.30264032161721377,-1,-1,-1,-1,hero,2028
89,-1,10989.5,-1,-1,7120000,-1,-1,0.3343188117881568,-1,-1,-1,-1,hero,2028
90,-1,10618.0,-1,-1,7200000,-1,-1,0.3218521178278757,-1,-1,-1,-1,hero,2028
91,-1,10730.5,-1,-1,7280000,-1,-1,0.32562736162473066,-1,-1,-1,-1,hero,2028
92,-1,9932.0,-1,-1,7360000,-1,-1,0.29883152009772007,-1,-1,-1,-1,hero,2028
93,-1,11586.5,-1,-1,7440000,-1,-1,0.35435277220346717,-1,-1,-1,-1,hero,2028
94,-1,9775.5,-1,-1,7520000,-1,-1,0.2935797365047618,-1,-1,-1,-1,hero,2028
95,-1,10490.5,-1,-1,7600000,-1,-1,0.3175735081914401,-1,-1,-1,-1,hero,2028
96,-1,10017.5,-1,-1,7680000,-1,-1,0.3017007053833298,-1,-1,-1,-1,hero,2028
97,-1,10853.5,-1,-1,7760000,-1,-1,0.3297549615092921,-1,-1,-1,-1,hero,2028
98,-1,10845.0,-1,-1,7840000,-1,-1,0.3294697208668631,-1,-1,-1,-1,hero,2028
99,-1,11648.5,-1,-1,7920000,-1,-1,0.35643335100706725,-1,-1,-1,-1,hero,2028
100,-1,10971.5,-1,-1,8000000,-1,-1,0.33371477278066,-1,-1,-1,-1,hero,2028
101,-1,18.9,-1,-1,0,-1,-1,0.6385135135135135,-1,-1,-1,-1,freeway,2026
102,-1,20.8,-1,-1,80000,-1,-1,0.7027027027027027,-1,-1,-1,-1,freeway,2026
103,-1,23.3,-1,-1,160000,-1,-1,0.7871621621621622,-1,-1,-1,-1,freeway,2026
104,-1,21.1,-1,-1,240000,-1,-1,0.7128378378378378,-1,-1,-1,-1,freeway,2026
105,-1,23.7,-1,-1,320000,-1,-1,0.8006756756756757,-1,-1,-1,-1,freeway,2026
106,-1,25.8,-1,-1,400000,-1,-1,0.8716216216216216,-1,-1,-1,-1,freeway,2026
107,-1,27.3,-1,-1,480000,-1,-1,0.9222972972972973,-1,-1,-1,-1,freeway,2026
108,-1,27.0,-1,-1,560000,-1,-1,0.9121621621621622,-1,-1,-1,-1,freeway,2026
109,-1,28.4,-1,-1,640000,-1,-1,0.9594594594594593,-1,-1,-1,-1,freeway,2026
110,-1,27.5,-1,-1,720000,-1,-1,0.9290540540540541,-1,-1,-1,-1,freeway,2026
111,-1,28.0,-1,-1,800000,-1,-1,0.9459459459459459,-1,-1,-1,-1,freeway,2026
112,-1,27.9,-1,-1,880000,-1,-1,0.9425675675675674,-1,-1,-1,-1,freeway,2026
113,-1,28.5,-1,-1,960000,-1,-1,0.9628378378378378,-1,-1,-1,-1,freeway,2026
114,-1,29.1,-1,-1,1040000,-1,-1,0.9831081081081081,-1,-1,-1,-1,freeway,2026
115,-1,29.8,-1,-1,1120000,-1,-1,1.0067567567567568,-1,-1,-1,-1,freeway,2026
116,-1,29.4,-1,-1,1200000,-1,-1,0.9932432432432432,-1,-1,-1,-1,freeway,2026
117,-1,30.0,-1,-1,1280000,-1,-1,1.0135135135135134,-1,-1,-1,-1,freeway,2026
118,-1,29.4,-1,-1,1360000,-1,-1,0.9932432432432432,-1,-1,-1,-1,freeway,2026
119,-1,30.1,-1,-1,1440000,-1,-1,1.0168918918918919,-1,-1,-1,-1,freeway,2026
120,-1,30.5,-1,-1,1520000,-1,-1,1.0304054054054053,-1,-1,-1,-1,freeway,2026
121,-1,30.8,-1,-1,1600000,-1,-1,1.0405405405405406,-1,-1,-1,-1,freeway,2026
122,-1,30.6,-1,-1,1680000,-1,-1,1.0337837837837838,-1,-1,-1,-1,freeway,2026
123,-1,31.1,-1,-1,1760000,-1,-1,1.0506756756756757,-1,-1,-1,-1,freeway,2026
124,-1,31.0,-1,-1,1840000,-1,-1,1.0472972972972971,-1,-1,-1,-1,freeway,2026
125,-1,31.2,-1,-1,1920000,-1,-1,1.054054054054054,-1,-1,-1,-1,freeway,2026
126,-1,30.9,-1,-1,2000000,-1,-1,1.0439189189189189,-1,-1,-1,-1,freeway,2026
127,-1,31.2,-1,-1,2080000,-1,-1,1.054054054054054,-1,-1,-1,-1,freeway,2026
128,-1,30.8,-1,-1,2160000,-1,-1,1.0405405405405406,-1,-1,-1,-1,freeway,2026
129,-1,31.3,-1,-1,2240000,-1,-1,1.0574324324324325,-1,-1,-1,-1,freeway,2026
130,-1,31.3,-1,-1,2320000,-1,-1,1.0574324324324325,-1,-1,-1,-1,freeway,2026
131,-1,31.7,-1,-1,2400000,-1,-1,1.0709459459459458,-1,-1,-1,-1,freeway,2026
132,-1,31.5,-1,-1,2480000,-1,-1,1.064189189189189,-1,-1,-1,-1,freeway,2026
133,-1,30.8,-1,-1,2560000,-1,-1,1.0405405405405406,-1,-1,-1,-1,freeway,2026
134,-1,31.8,-1,-1,2640000,-1,-1,1.0743243243243243,-1,-1,-1,-1,freeway,2026
135,-1,31.4,-1,-1,2720000,-1,-1,1.0608108108108107,-1,-1,-1,-1,freeway,2026
136,-1,31.3,-1,-1,2800000,-1,-1,1.0574324324324325,-1,-1,-1,-1,freeway,2026
137,-1,31.9,-1,-1,2880000,-1,-1,1.0777027027027026,-1,-1,-1,-1,freeway,2026
138,-1,31.8,-1,-1,2960000,-1,-1,1.0743243243243243,-1,-1,-1,-1,freeway,2026
139,-1,31.6,-1,-1,3040000,-1,-1,1.0675675675675675,-1,-1,-1,-1,freeway,2026
140,-1,31.9,-1,-1,3120000,-1,-1,1.0777027027027026,-1,-1,-1,-1,freeway,2026
141,-1,31.4,-1,-1,3200000,-1,-1,1.0608108108108107,-1,-1,-1,-1,freeway,2026
142,-1,31.7,-1,-1,3280000,-1,-1,1.0709459459459458,-1,-1,-1,-1,freeway,2026
143,-1,31.6,-1,-1,3360000,-1,-1,1.0675675675675675,-1,-1,-1,-1,freeway,2026
144,-1,32.2,-1,-1,3440000,-1,-1,1.087837837837838,-1,-1,-1,-1,freeway,2026
145,-1,32.1,-1,-1,3520000,-1,-1,1.0844594594594594,-1,-1,-1,-1,freeway,2026
146,-1,32.0,-1,-1,3600000,-1,-1,1.081081081081081,-1,-1,-1,-1,freeway,2026
147,-1,32.0,-1,-1,3680000,-1,-1,1.081081081081081,-1,-1,-1,-1,freeway,2026
148,-1,31.6,-1,-1,3760000,-1,-1,1.0675675675675675,-1,-1,-1,-1,freeway,2026
149,-1,31.9,-1,-1,3840000,-1,-1,1.0777027027027026,-1,-1,-1,-1,freeway,2026
150,-1,31.3,-1,-1,3920000,-1,-1,1.0574324324324325,-1,-1,-1,-1,freeway,2026
151,-1,30.8,-1,-1,4000000,-1,-1,1.0405405405405406,-1,-1,-1,-1,freeway,2026
152,-1,31.4,-1,-1,4080000,-1,-1,1.0608108108108107,-1,-1,-1,-1,freeway,2026
153,-1,31.4,-1,-1,4160000,-1,-1,1.0608108108108107,-1,-1,-1,-1,freeway,2026
154,-1,31.3,-1,-1,4240000,-1,-1,1.0574324324324325,-1,-1,-1,-1,freeway,2026
155,-1,31.1,-1,-1,4320000,-1,-1,1.0506756756756757,-1,-1,-1,-1,freeway,2026
156,-1,31.4,-1,-1,4400000,-1,-1,1.0608108108108107,-1,-1,-1,-1,freeway,2026
157,-1,31.8,-1,-1,4480000,-1,-1,1.0743243243243243,-1,-1,-1,-1,freeway,2026
158,-1,31.9,-1,-1,4560000,-1,-1,1.0777027027027026,-1,-1,-1,-1,freeway,2026
159,-1,31.3,-1,-1,4640000,-1,-1,1.0574324324324325,-1,-1,-1,-1,freeway,2026
160,-1,31.7,-1,-1,4720000,-1,-1,1.0709459459459458,-1,-1,-1,-1,freeway,2026
161,-1,31.7,-1,-1,4800000,-1,-1,1.0709459459459458,-1,-1,-1,-1,freeway,2026
162,-1,31.4,-1,-1,4880000,-1,-1,1.0608108108108107,-1,-1,-1,-1,freeway,2026
163,-1,31.4,-1,-1,4960000,-1,-1,1.0608108108108107,-1,-1,-1,-1,freeway,2026
164,-1,31.8,-1,-1,5040000,-1,-1,1.0743243243243243,-1,-1,-1,-1,freeway,2026
