,capped_normalized_return,eval_episode_return,eval_frame_rate,eval_num_episodes,frame,human_gap,iteration,normalized_return,train_episode_return,train_exploration_epsilon,train_frame_rate,train_num_episodes,environment_name,seed
59,-1,0.0,-1,-1,22000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
60,-1,0.0,-1,-1,24000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
61,-1,0.0,-1,-1,26000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
62,-1,0.0,-1,-1,28000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
63,-1,0.0,-1,-1,30000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
64,-1,0.0,-1,-1,32000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
65,-1,0.0,-1,-1,34000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
66,-1,0.0,-1,-1,36000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
67,-1,0.0,-1,-1,38000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
68,-1,0.0,-1,-1,40000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
69,-1,0.0,-1,-1,42000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
70,-1,0.0,-1,-1,44000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
71,-1,0.0,-1,-1,46000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
72,-1,0.0,-1,-1,48000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
73,-1,0.0,-1,-1,50000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
74,-1,0.0,-1,-1,52000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
75,-1,0.0,-1,-1,54000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
76,-1,0.0,-1,-1,56000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
77,-1,0.0,-1,-1,58000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
78,-1,0.0,-1,-1,60000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
79,-1,0.0,-1,-1,62000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
80,-1,0.0,-1,-1,64000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
81,-1,0.0,-1,-1,66000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
82,-1,0.0,-1,-1,68000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
83,-1,0.0,-1,-1,70000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
84,-1,0.0,-1,-1,72000000,-1,-1,0.0,-1,-1,-1,-1,venture,2
